Global Port Statistics Counters:
ID:
  DisplayName;P-0-0-3;P-0-0-2;P-0-0-1;P-0-0-0;P-0-0-4;P-0-0-5;P-0-2-0;P-0-2-1;P-0-2-2;P-0-2-3;P-0-2-4;P-0-2-5;P-0-4-0;P-0-4-2;P-0-4-1;P-0-4-3;P-0-4-5;P-0-4-4
Summary:
  Description;Port number 1;Port number 1;Port number 1;Port number 0;Port number 3;Port number 5;Port number 0;Port number 1;Port number 2;Port number 3;Port number 4;Port number 5;Port number 0;Port number 2;Port number 1;Port number 3;Port number 3;Port number 1
  PortSpeed;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s
  PortSyncState;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC
  FcsStatus;FCS ERRORS;FCS OK;FCS OK;FCS OK;FCS ERRORS;FCS OK;FCS ERRORS;FCS ERRORS;FCS ERRORS;FCS ERRORS;FCS ERRORS;FCS ERRORS;FCS ERRORS;FCS ERRORS;FCS ERRORS;FCS ERRORS;FCS ERRORS;FCS ERRORS
  FcsErrorCount;38389;0;0;0;52719;0;2857;8563;4814;3360;20665;20711;20955;32415;26818;24955;33592;30773
  TotalErrorCount;76835;0;0;0;105553;0;5714;17132;9629;6720;41360;41475;42039;65330;53987;50206;67599;61959
TX Totals:
  TxPercent;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxBpsL1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxBpsL2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxPps;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxBytes;141768220;322200252660;0;3222002458290;793902340;64440765043;32222150083;0;0;32222150083;0;0;64440732194;37376426373;32222119355;5155202360;69596597163;5155202360
  TxPackets;1288802;2929093206;0;29290931439;7217294;81466565;40733300;0;0;40733300;0;0;81466522;87598650;40733260;46865476;128332308;46865476
RX Totals:
  RxPercent;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxBpsL1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxBpsL2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxPps;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxBytes;3609389233684;3287237125673;3609437378333;387576688263;3608578122227;3802766360941;3609433672651;3609426244051;3609431125555;3609432953591;3630031464134;3630031436031;3630031148345;3624067492601;3630023992078;3624077294107;3624066375787;3624070156236
  RxPackets;32308670058;29379615298;32308708504;3019065867;32301438376;32553108119;32308705647;32308699935;32308703689;32308705144;32496149921;32496149852;32496149532;32442055075;32496143447;32442062597;32442053487;32442056660
TX (No Test Payload):
  TxNonPldBpsL2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxNonPldPps;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxNonPldBytes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxNonPldPackets;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RX (No Test Payload):
  RxNonPldBpsL2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxNonPldPps;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxNonPldBytes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxNonPldPackets;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TX ARP/NDP/PING:
