Global Stream Statistics Counters:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  TxPortName,Port 0/0/5,Port 0/0/2,Port 0/0/3,Port 0/2/0,Port 0/2/3,Port 0/4/0,Port 0/0/4,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/2/0,Port 0/2/3,Port 0/4/0,Port 0/0/4,Port 0/0/0,Port 0/0/5,Port 0/2/0,Port 0/2/3,Port 0/4/0,Port 0/0/4,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/2/0,Port 0/2/3,Port 0/0/4,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/2/0,Port 0/2/3,Port 0/0/0,Port 0/0/2,Port 0/4/5,Port 0/2/0,Port 0/2/3,Port 0/4/0,Port 0/4/1,Port 0/0/4,Port 0/4/2,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/2/3,Port 0/0/4,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/2/0,Port 0/2/3,Port 0/0/4,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/2/0,Port 0/2/3,Port 0/0/4,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/2/0,Port 0/0/4,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/4/4,Port 0/2/0,Port 0/2/3,Port 0/4/2,Port 0/0/4,Port 0/4/5,Port 0/4/3,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/4/4,Port 0/2/0,Port 0/2/3,Port 0/4/2,Port 0/0/4,Port 0/4/5,Port 0/4/3,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/4/4,Port 0/2/0,Port 0/2/3,Port 0/4/2,Port 0/0/4,Port 0/4/5,Port 0/4/3,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/4/4,Port 0/2/0,Port 0/2/3,Port 0/4/2,Port 0/0/4,Port 0/4/5,Port 0/4/3,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/4/4,Port 0/2/0,Port 0/2/3,Port 0/4/5,Port 0/4/3,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/4/4,Port 0/2/0,Port 0/2/3,Port 0/4/2,Port 0/4/5,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/2/0,Port 0/2/3,Port 0/4/2,Port 0/4/5,Port 0/4/3,Port 0/0/0,Port 0/0/5,Port 0/0/2,Port 0/4/4,Port 0/2/0,Port 0/4/2,Port 0/4/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  StreamId,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  RxPortName,Port 0/0/0,Port 0/0/0,Port 0/0/0,Port 0/0/0,Port 0/0/0,Port 0/0/0,Port 0/0/0,Port 0/0/1,Port 0/0/1,Port 0/0/1,Port 0/0/1,Port 0/0/1,Port 0/0/1,Port 0/0/1,Port 0/0/2,Port 0/0/2,Port 0/0/2,Port 0/0/2,Port 0/0/2,Port 0/0/2,Port 0/0/3,Port 0/0/3,Port 0/0/3,Port 0/0/3,Port 0/0/3,Port 0/0/3,Port 0/0/4,Port 0/0/4,Port 0/0/4,Port 0/0/4,Port 0/0/4,Port 0/0/5,Port 0/0/5,Port 0/0/5,Port 0/0/5,Port 0/0/5,Port 0/0/5,Port 0/0/5,Port 0/0/5,Port 0/0/5,Port 0/2/0,Port 0/2/0,Port 0/2/0,Port 0/2/0,Port 0/2/0,Port 0/2/1,Port 0/2/1,Port 0/2/1,Port 0/2/1,Port 0/2/1,Port 0/2/1,Port 0/2/2,Port 0/2/2,Port 0/2/2,Port 0/2/2,Port 0/2/2,Port 0/2/2,Port 0/2/3,Port 0/2/3,Port 0/2/3,Port 0/2/3,Port 0/2/3,Port 0/2/4,Port 0/2/4,Port 0/2/4,Port 0/2/4,Port 0/2/4,Port 0/2/4,Port 0/2/4,Port 0/2/4,Port 0/2/4,Port 0/2/4,Port 0/2/5,Port 0/2/5,Port 0/2/5,Port 0/2/5,Port 0/2/5,Port 0/2/5,Port 0/2/5,Port 0/2/5,Port 0/2/5,Port 0/2/5,Port 0/4/0,Port 0/4/0,Port 0/4/0,Port 0/4/0,Port 0/4/0,Port 0/4/0,Port 0/4/0,Port 0/4/0,Port 0/4/0,Port 0/4/0,Port 0/4/1,Port 0/4/1,Port 0/4/1,Port 0/4/1,Port 0/4/1,Port 0/4/1,Port 0/4/1,Port 0/4/1,Port 0/4/1,Port 0/4/1,Port 0/4/2,Port 0/4/2,Port 0/4/2,Port 0/4/2,Port 0/4/2,Port 0/4/2,Port 0/4/2,Port 0/4/2,Port 0/4/3,Port 0/4/3,Port 0/4/3,Port 0/4/3,Port 0/4/3,Port 0/4/3,Port 0/4/3,Port 0/4/3,Port 0/4/4,Port 0/4/4,Port 0/4/4,Port 0/4/4,Port 0/4/4,Port 0/4/4,Port 0/4/4,Port 0/4/4,Port 0/4/5,Port 0/4/5,Port 0/4/5,Port 0/4/5,Port 0/4/5,Port 0/4/5,Port 0/4/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  TidValueString,1,2,3,6,7,8,11,0,1,2,6,7,8,11,0,1,6,7,8,11,0,1,2,6,7,11,0,1,2,6,7,0,2,4,6,7,8,10,11,14,0,1,2,7,11,0,1,2,6,7,11,0,1,2,6,7,11,0,1,2,6,11,0,1,2,5,6,7,9,11,12,13,0,1,2,5,6,7,9,11,12,13,0,1,2,5,6,7,9,11,12,13,0,1,2,5,6,7,9,11,12,13,0,1,2,5,6,7,12,13,0,1,2,5,6,7,9,12,0,1,2,6,7,9,12,13,0,1,2,5,6,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Description,Stream number 0,Stream number 0,Stream number 1,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 1,Stream number 0,Stream number 1,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 1,Stream number 0,Stream number 1,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 1,Stream number 0,Stream number 1,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 1,Stream number 0,Stream number 1,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 1,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 1,Stream number 1,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 1,Stream number 1,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 0,Stream number 1,Stream number 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX Totals:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  TxPercent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  TxBpsL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  TxBpsL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  TxPps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  TxBytes,760265891556,3801365581860,1672601040,380127272618,380127273974,760265505150,9366564900,38013655743360,760265891556,3801365581860,380127272618,380127273974,760265505150,9366564900,38013655743360,760265891556,380127272618,380127273974,760265505150,9366564900,38013655743360,760265891556,3801365581860,380127272618,380127273974,9366564900,38013655743360,760265891556,3801365581860,380127272618,380127273974,38013655743360,3801365581860,760259741290,380127272618,380127273974,760265505150,380126930254,9366564900,380136459223,38013655743360,760265891556,3801365581860,380127273974,9366564900,38013655743360,760265891556,3801365581860,380127272618,380127273974,9366564900,38013655743360,760265891556,3801365581860,380127272618,380127273974,9366564900,38013655743360,760265891556,3801365581860,380127272618,9366564900,38013655743360,760265891556,3801365581860,60821817980,380127272618,380127273974,60821623830,9366564900,60822271400,60821817980,38013655743360,760265891556,3801365581860,60821817980,380127272618,380127273974,60821623830,9366564900,60822271400,60821817980,38013655743360,760265891556,3801365581860,60821817980,380127272618,380127273974,60821623830,9366564900,60822271400,60821817980,38013655743360,760265891556,3801365581860,60821817980,380127272618,380127273974,60821623830,9366564900,60822271400,60821817980,38013655743360,760265891556,3801365581860,60821817980,380127272618,380127273974,60822271400,60821817980,38013655743360,760265891556,3801365581860,60821817980,380127272618,380127273974,60821623830,60822271400,38013655743360,760265891556,3801365581860,380127272618,380127273974,60821623830,60822271400,60821817980,38013655743360,760265891556,3801365581860,60821817980,380127272618,60821623830,60821817980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
