Global Port Statistics Counters:
ID:
  DisplayName;P-0-0-3;P-0-0-2;P-0-0-1;P-0-0-0;P-0-0-4;P-0-0-5;P-0-2-0;P-0-2-1;P-0-2-2;P-0-2-3;P-0-2-4;P-0-2-5;P-0-4-0;P-0-4-2;P-0-4-1;P-0-4-3;P-0-4-5;P-0-4-4
Summary:
  Description;Port number 1;Port number 1;Port number 1;Port number 0;Port number 3;Port number 5;Port number 0;Port number 1;Port number 2;Port number 3;Port number 4;Port number 5;Port number 0;Port number 2;Port number 1;Port number 3;Port number 3;Port number 1
  PortSpeed;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s
  PortSyncState;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC
  FcsStatus;FCS ERRORS;FCS OK;FCS OK;FCS OK;FCS ERRORS;FCS OK;FCS ERRORS;FCS ERRORS;FCS ERRORS;FCS ERRORS;FCS ERRORS;FCS ERRORS;FCS ERRORS;FCS ERRORS;FCS ERRORS;FCS ERRORS;FCS ERRORS;FCS ERRORS
  FcsErrorCount;321913;0;0;0;425718;0;25955;86353;45990;32070;207466;207173;209975;337511;258896;252035;373696;310744
  TotalErrorCount;644039;0;0;0;890133;0;51910;172762;92005;64120;414986;414863;421128;680429;521255;509372;751486;625516
TX Totals:
  TxPercent;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxBpsL1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxBpsL2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxPps;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxBytes;1672601040;3801365581860;0;38013655743360;9366564900;760265891556;380127272618;0;0;380127273974;0;0;760265505150;440958083053;380126930254;60821817980;821082012690;60821817980
  TxPackets;15205464;34557868926;0;345578688576;85150590;961154405;480577383;0;0;480577384;0;0;961153899;1033501457;480576953;552925618;1514083090;552925618
RX Totals:
  RxPercent;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxBpsL1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxBpsL2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxPps;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxBytes;42584246134542;38783288204592;42584653786452;4572670644132;42574750909059;44865431072629;42584620098901;42584541267672;42584593861723;42584611649838;42827672340420;42827672947786;42827669623978;42757319145307;42827610243846;42757431302892;42757278963062;42757359561724
  RxPackets;381182540375;346624993575;381182862501;35619379389;381097247498;384066324665;381182836543;381182776090;381182816484;381182830792;383394359812;383394359638;383394356175;382756149969;383394304969;382756233783;382756109213;382756176355
TX (No Test Payload):
  TxNonPldBpsL2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxNonPldPps;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxNonPldBytes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxNonPldPackets;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RX (No Test Payload):
  RxNonPldBpsL2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxNonPldPps;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxNonPldBytes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxNonPldPackets;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TX ARP/NDP/PING:
