Global Stream Statistics Counters:
ID:
  TxPortName;Port 0/4/3;Port 0/0/5;Port 0/4/5;Port 0/2/3;Port 0/4/0;Port 0/4/2;Port 0/4/1;Port 0/2/1;Port 0/2/2;Port 0/0/0;Port 0/4/3;Port 0/0/5;Port 0/4/5;Port 0/2/3;Port 0/4/0;Port 0/4/2;Port 0/4/1;Port 0/2/1;Port 0/2/2;Port 0/0/0;Port 0/4/3;Port 0/0/5;Port 0/4/5;Port 0/2/3;Port 0/4/0;Port 0/4/2;Port 0/4/1;Port 0/2/1;Port 0/2/2;Port 0/0/0;Port 0/4/3;Port 0/0/5;Port 0/4/5;Port 0/2/3;Port 0/4/0;Port 0/4/2;Port 0/4/1;Port 0/2/1;Port 0/2/2;Port 0/0/0;Port 0/4/3;Port 0/0/1;Port 0/0/5;Port 0/4/5;Port 0/2/3;Port 0/4/0;Port 0/4/2;Port 0/4/1;Port 0/2/1;Port 0/2/2;Port 0/0/0;Port 0/4/3;Port 0/4/5;Port 0/2/3;Port 0/4/0;Port 0/4/2;Port 0/4/1;Port 0/2/1;Port 0/2/2;Port 0/0/0;Port 0/4/3;Port 0/0/5;Port 0/4/5;Port 0/2/3;Port 0/4/0;Port 0/4/2;Port 0/4/1;Port 0/2/1;Port 0/2/2;Port 0/0/0;Port 0/4/3;Port 0/0/5;Port 0/4/5;Port 0/2/3;Port 0/4/0;Port 0/4/2;Port 0/4/1;Port 0/2/2;Port 0/0/0;Port 0/4/3;Port 0/0/5;Port 0/4/5;Port 0/2/3;Port 0/4/0;Port 0/4/2;Port 0/4/1;Port 0/2/1;Port 0/0/0;Port 0/4/3;Port 0/0/5;Port 0/4/5;Port 0/4/0;Port 0/4/2;Port 0/4/1;Port 0/2/1;Port 0/2/2;Port 0/0/0;Port 0/4/3;Port 0/0/5;Port 0/4/5;Port 0/2/3;Port 0/4/0;Port 0/4/2;Port 0/4/1;Port 0/2/1;Port 0/2/2;Port 0/0/0;Port 0/4/3;Port 0/0/5;Port 0/4/5;Port 0/2/3;Port 0/4/0;Port 0/4/2;Port 0/4/1;Port 0/2/1;Port 0/2/2;Port 0/0/0;Port 0/4/3;Port 0/0/5;Port 0/4/5;Port 0/2/3;Port 0/4/2;Port 0/4/1;Port 0/2/1;Port 0/2/2;Port 0/0/0;Port 0/4/3;Port 0/0/5;Port 0/4/5;Port 0/2/3;Port 0/4/0;Port 0/4/2;Port 0/2/1;Port 0/2/2;Port 0/0/0;Port 0/4/3;Port 0/0/5;Port 0/4/5;Port 0/2/3;Port 0/4/0;Port 0/4/1;Port 0/2/1;Port 0/2/2;Port 0/0/0;Port 0/0/5;Port 0/4/5;Port 0/2/3;Port 0/4/0;Port 0/4/2;Port 0/4/1;Port 0/2/1;Port 0/2/2;Port 0/0/0;Port 0/4/3;Port 0/0/5;Port 0/4/5;Port 0/2/3;Port 0/4/0;Port 0/4/2;Port 0/4/1;Port 0/2/1;Port 0/2/2;Port 0/0/0;Port 0/4/3;Port 0/0/5;Port 0/2/3;Port 0/4/0;Port 0/4/2;Port 0/4/1;Port 0/2/1;Port 0/2/2
  StreamId;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxPortName;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/1;Port 0/0/1;Port 0/0/1;Port 0/0/1;Port 0/0/1;Port 0/0/1;Port 0/0/1;Port 0/0/1;Port 0/0/1;Port 0/0/1;Port 0/0/2;Port 0/0/2;Port 0/0/2;Port 0/0/2;Port 0/0/2;Port 0/0/2;Port 0/0/2;Port 0/0/2;Port 0/0/2;Port 0/0/2;Port 0/0/3;Port 0/0/3;Port 0/0/3;Port 0/0/3;Port 0/0/3;Port 0/0/3;Port 0/0/3;Port 0/0/3;Port 0/0/3;Port 0/0/3;Port 0/0/4;Port 0/0/4;Port 0/0/4;Port 0/0/4;Port 0/0/4;Port 0/0/4;Port 0/0/4;Port 0/0/4;Port 0/0/4;Port 0/0/4;Port 0/0/4;Port 0/0/5;Port 0/0/5;Port 0/0/5;Port 0/0/5;Port 0/0/5;Port 0/0/5;Port 0/0/5;Port 0/0/5;Port 0/0/5;Port 0/2/0;Port 0/2/0;Port 0/2/0;Port 0/2/0;Port 0/2/0;Port 0/2/0;Port 0/2/0;Port 0/2/0;Port 0/2/0;Port 0/2/0;Port 0/2/1;Port 0/2/1;Port 0/2/1;Port 0/2/1;Port 0/2/1;Port 0/2/1;Port 0/2/1;Port 0/2/1;Port 0/2/1;Port 0/2/2;Port 0/2/2;Port 0/2/2;Port 0/2/2;Port 0/2/2;Port 0/2/2;Port 0/2/2;Port 0/2/2;Port 0/2/2;Port 0/2/3;Port 0/2/3;Port 0/2/3;Port 0/2/3;Port 0/2/3;Port 0/2/3;Port 0/2/3;Port 0/2/3;Port 0/2/3;Port 0/2/4;Port 0/2/4;Port 0/2/4;Port 0/2/4;Port 0/2/4;Port 0/2/4;Port 0/2/4;Port 0/2/4;Port 0/2/4;Port 0/2/4;Port 0/2/5;Port 0/2/5;Port 0/2/5;Port 0/2/5;Port 0/2/5;Port 0/2/5;Port 0/2/5;Port 0/2/5;Port 0/2/5;Port 0/2/5;Port 0/4/0;Port 0/4/0;Port 0/4/0;Port 0/4/0;Port 0/4/0;Port 0/4/0;Port 0/4/0;Port 0/4/0;Port 0/4/0;Port 0/4/1;Port 0/4/1;Port 0/4/1;Port 0/4/1;Port 0/4/1;Port 0/4/1;Port 0/4/1;Port 0/4/1;Port 0/4/1;Port 0/4/2;Port 0/4/2;Port 0/4/2;Port 0/4/2;Port 0/4/2;Port 0/4/2;Port 0/4/2;Port 0/4/2;Port 0/4/2;Port 0/4/3;Port 0/4/3;Port 0/4/3;Port 0/4/3;Port 0/4/3;Port 0/4/3;Port 0/4/3;Port 0/4/3;Port 0/4/3;Port 0/4/4;Port 0/4/4;Port 0/4/4;Port 0/4/4;Port 0/4/4;Port 0/4/4;Port 0/4/4;Port 0/4/4;Port 0/4/4;Port 0/4/4;Port 0/4/5;Port 0/4/5;Port 0/4/5;Port 0/4/5;Port 0/4/5;Port 0/4/5;Port 0/4/5;Port 0/4/5;Port 0/4/5
  TidValueString;1;3;5;7;8;9;10;11;12;0;1;3;5;7;8;9;10;11;12;0;1;3;5;7;8;9;10;11;12;0;1;3;5;7;8;9;10;11;12;0;1;2;3;5;7;8;9;10;11;12;0;1;5;7;8;9;10;11;12;0;1;3;5;7;8;9;10;11;12;0;1;3;5;7;8;9;10;12;0;1;3;5;7;8;9;10;11;0;1;3;5;8;9;10;11;12;0;1;3;5;7;8;9;10;11;12;0;1;3;5;7;8;9;10;11;12;0;1;3;5;7;9;10;11;12;0;1;3;5;7;8;9;11;12;0;1;3;5;7;8;10;11;12;0;3;5;7;8;9;10;11;12;0;1;3;5;7;8;9;10;11;12;0;1;3;7;8;9;10;11;12
  Description;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0
TX Totals:
  TxPercent;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxBpsL1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxBpsL2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxPps;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxBytes;412720;16649674;66700317;16651014;16651114;16652220;16652220;16650670;36080;326896280;412720;16649674;66700317;16651014;16651114;16652220;16652220;16650670;36080;326896280;412720;16649674;66700317;16651014;16651114;16652220;16652220;16650670;36080;326896280;412720;16649674;66700317;16651014;16651114;16652220;16652220;16650670;36080;326896280;412720;32697922;16649674;66700317;16651014;16651114;16652220;16652220;16650670;36080;326896280;412720;66700317;16651014;16651114;16652220;16652220;16650670;36080;326896280;412720;16649674;66700317;16651014;16651114;16652220;16652220;16650670;36080;326896280;412720;16649674;66700317;16651014;16651114;16652220;16652220;36080;326896280;412720;16649674;66700317;16651014;16651114;16652220;16652220;16650670;326896280;412720;16649674;66700317;16651114;16652220;16652220;16650670;36080;326896280;412720;16649674;66700317;16651014;16651114;16652220;16652220;16650670;36080;326896280;412720;16649674;66700317;16651014;16651114;16652220;16652220;16650670;36080;326896280;412720;16649674;66700317;16651014;16652220;16652220;16650670;36080;326896280;412720;16649674;66700317;16651014;16651114;16652220;16650670;36080;326896280;412720;16649674;66700317;16651014;16651114;16652220;16650670;36080;326896280;16649674;66700317;16651014;16651114;16652220;16652220;16650670;36080;326896280;412720;16649674;66700317;16651014;16651114;16652220;16652220;16650670;36080;326896280;412720;16649674;16651014;16651114;16652220;16652220;16650670;36080
