Global Stream Statistics Counters:
ID:
  TxPortName;Port 0/4/3;Port 0/0/2;Port 0/0/5;Port 0/4/4;Port 0/4/5;Port 0/2/0;Port 0/2/3;Port 0/4/2;Port 0/0/0;Port 0/4/3;Port 0/0/2;Port 0/0/5;Port 0/4/5;Port 0/2/0;Port 0/2/3;Port 0/4/2;Port 0/0/0;Port 0/4/3;Port 0/0/5;Port 0/4/5;Port 0/2/0;Port 0/2/3;Port 0/4/2;Port 0/0/0;Port 0/4/3;Port 0/0/2;Port 0/0/5;Port 0/4/5;Port 0/2/0;Port 0/2/3;Port 0/4/2;Port 0/0/0;Port 0/4/3;Port 0/0/2;Port 0/0/5;Port 0/4/5;Port 0/2/0;Port 0/2/3;Port 0/4/2;Port 0/0/0;Port 0/4/3;Port 0/0/2;Port 0/4/5;Port 0/2/0;Port 0/2/3;Port 0/4/2;Port 0/0/0;Port 0/4/3;Port 0/0/2;Port 0/0/5;Port 0/4/5;Port 0/2/3;Port 0/4/2;Port 0/0/0;Port 0/4/3;Port 0/0/2;Port 0/0/5;Port 0/4/5;Port 0/2/0;Port 0/2/3;Port 0/4/2;Port 0/0/0;Port 0/4/3;Port 0/0/2;Port 0/0/5;Port 0/4/5;Port 0/2/0;Port 0/2/3;Port 0/4/2;Port 0/0/0;Port 0/4/3;Port 0/0/2;Port 0/0/5;Port 0/4/5;Port 0/2/0;Port 0/4/2;Port 0/0/0;Port 0/4/3;Port 0/0/2;Port 0/0/5;Port 0/4/5;Port 0/2/0;Port 0/2/3;Port 0/4/2;Port 0/0/0;Port 0/4/3;Port 0/0/2;Port 0/0/5;Port 0/4/5;Port 0/2/0;Port 0/2/3;Port 0/4/2;Port 0/4/1;Port 0/4/0;Port 0/0/0;Port 0/4/3;Port 0/0/2;Port 0/0/5;Port 0/4/5;Port 0/2/0;Port 0/2/3;Port 0/0/0;Port 0/0/2;Port 0/0/5;Port 0/4/5;Port 0/2/0;Port 0/2/3;Port 0/4/2;Port 0/0/0;Port 0/4/3;Port 0/0/2;Port 0/0/5;Port 0/4/5;Port 0/2/0;Port 0/2/3;Port 0/4/2;Port 0/0/0;Port 0/4/3;Port 0/0/2;Port 0/0/5;Port 0/2/0;Port 0/2/3;Port 0/4/2
  StreamId;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxPortName;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/1;Port 0/0/1;Port 0/0/1;Port 0/0/1;Port 0/0/1;Port 0/0/1;Port 0/0/1;Port 0/0/1;Port 0/0/2;Port 0/0/2;Port 0/0/2;Port 0/0/2;Port 0/0/2;Port 0/0/2;Port 0/0/2;Port 0/0/3;Port 0/0/3;Port 0/0/3;Port 0/0/3;Port 0/0/3;Port 0/0/3;Port 0/0/3;Port 0/0/3;Port 0/0/4;Port 0/0/4;Port 0/0/4;Port 0/0/4;Port 0/0/4;Port 0/0/4;Port 0/0/4;Port 0/0/4;Port 0/0/5;Port 0/0/5;Port 0/0/5;Port 0/0/5;Port 0/0/5;Port 0/0/5;Port 0/0/5;Port 0/2/0;Port 0/2/0;Port 0/2/0;Port 0/2/0;Port 0/2/0;Port 0/2/0;Port 0/2/0;Port 0/2/1;Port 0/2/1;Port 0/2/1;Port 0/2/1;Port 0/2/1;Port 0/2/1;Port 0/2/1;Port 0/2/1;Port 0/2/2;Port 0/2/2;Port 0/2/2;Port 0/2/2;Port 0/2/2;Port 0/2/2;Port 0/2/2;Port 0/2/2;Port 0/2/3;Port 0/2/3;Port 0/2/3;Port 0/2/3;Port 0/2/3;Port 0/2/3;Port 0/2/3;Port 0/2/4;Port 0/2/4;Port 0/2/4;Port 0/2/4;Port 0/2/4;Port 0/2/4;Port 0/2/4;Port 0/2/4;Port 0/2/5;Port 0/2/5;Port 0/2/5;Port 0/2/5;Port 0/2/5;Port 0/2/5;Port 0/2/5;Port 0/2/5;Port 0/4/0;Port 0/4/1;Port 0/4/2;Port 0/4/2;Port 0/4/2;Port 0/4/2;Port 0/4/2;Port 0/4/2;Port 0/4/2;Port 0/4/3;Port 0/4/3;Port 0/4/3;Port 0/4/3;Port 0/4/3;Port 0/4/3;Port 0/4/3;Port 0/4/4;Port 0/4/4;Port 0/4/4;Port 0/4/4;Port 0/4/4;Port 0/4/4;Port 0/4/4;Port 0/4/4;Port 0/4/5;Port 0/4/5;Port 0/4/5;Port 0/4/5;Port 0/4/5;Port 0/4/5;Port 0/4/5
  TidValueString;1;2;3;4;5;6;7;9;0;1;2;3;5;6;7;9;0;1;3;5;6;7;9;0;1;2;3;5;6;7;9;0;1;2;3;5;6;7;9;0;1;2;5;6;7;9;0;1;2;3;5;7;9;0;1;2;3;5;6;7;9;0;1;2;3;5;6;7;9;0;1;2;3;5;6;9;0;1;2;3;5;6;7;9;0;1;2;3;5;6;7;9;10;8;0;1;2;3;5;6;7;0;2;3;5;6;7;9;0;1;2;3;5;6;7;9;0;1;2;3;6;7;9
  Description;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0
TX Totals:
  TxPercent;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxBpsL1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxBpsL2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxPps;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxBytes;67760;27147120;2731474;12100;10821429;2732198;2732592;2732592;271361860;67760;27147120;2731474;10821429;2732198;2732592;2732592;271361860;67760;2731474;10821429;2732198;2732592;2732592;271361860;67760;27147120;2731474;10821429;2732198;2732592;2732592;271361860;67760;27147120;2731474;10821429;2732198;2732592;2732592;271361860;67760;27147120;10821429;2732198;2732592;2732592;271361860;67760;27147120;2731474;10821429;2732592;2732592;271361860;67760;27147120;2731474;10821429;2732198;2732592;2732592;271361860;67760;27147120;2731474;10821429;2732198;2732592;2732592;271361860;67760;27147120;2731474;10821429;2732198;2732592;271361860;67760;27147120;2731474;10821429;2732198;2732592;2732592;271361860;67760;27147120;2731474;10821429;2732198;2732592;2732592;2734719;2733845;271361860;67760;27147120;2731474;10821429;2732198;2732592;271361860;27147120;2731474;10821429;2732198;2732592;2732592;271361860;67760;27147120;2731474;10821429;2732198;2732592;2732592;271361860;67760;27147120;2731474;2732198;2732592;2732592
