Global Port Statistics Counters:
ID:
  DisplayName;P-0-0-0;P-0-0-1;P-0-0-2;P-0-0-3;P-0-0-4;P-0-0-5;P-0-2-1;P-0-2-0;P-0-2-2;P-0-2-3;P-0-2-4;P-0-2-5;P-0-4-0;P-0-4-1;P-0-4-2;P-0-4-3;P-0-4-4;P-0-4-5
Summary:
  Description;Port number 0;Port number 1;Port number 2;Port number 3;Port number 4;Port number 5;Port number 1;Port number 0;Port number 2;Port number 3;Port number 4;Port number 5;Port number 0;Port number 1;Port number 2;Port number 3;Port number 4;Port number 5
  PortSpeed;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s
  PortSyncState;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC
  FcsStatus;FCS OK;FCS OK;FCS OK;FCS OK;FCS OK;FCS OK;FCS OK;FCS OK;FCS OK;FCS OK;FCS OK;FCS OK;FCS OK;FCS OK;FCS OK;FCS OK;FCS OK;FCS OK
  FcsErrorCount;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TotalErrorCount;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TX Totals:
  TxPercent;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxBpsL1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxBpsL2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxPps;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxBytes;3754144790;0;375421530;0;0;0;0;0;0;0;0;0;0;0;0;0;165220;375395208
  TxPackets;34128589;0;3412923;0;0;0;0;0;0;0;0;0;0;0;0;0;1502;474631
RX Totals:
  RxPercent;0,000134;0,000134;0,000134;0,000227;0,000227;0,000134;0,000227;0,000361;0,000134;0,000227;0,000227;0,000134;9,3E-05;0,000361;0,000134;9,3E-05;0,000134;0,000134
  RxBpsL1;1340;1340;1340;2270;2270;1340;2270;3610;1340;2270;2270;1340;930;3610;1340;930;1340;1340
  RxBpsL2;1020;1020;1020;1790;1790;1020;1790;2810;1020;1790;1790;1020;770;2810;1020;770;1020;1020
  RxPps;2;2;2;3;3;2;3;5;2;3;3;2;1;5;2;1;2;2
  RxBytes;751038310;4505018200;4129596542;4505017912;4505018520;4505017784;4505017048;4505017112;4505017208;4505017592;4505017400;4505017496;4505017784;4505017944;4505017112;4505017560;4505017688;4129622288
  RxPackets;3889855;38016948;34604023;38016943;38016952;38016941;38016930;38016932;38016933;38016939;38016935;38016938;38016941;38016944;38016932;38016938;38016940;37542305
TX (No Test Payload):
