Global Stream Statistics Counters:
ID:
  TxPortName;Unknown;Unknown;Unknown;Port 0/4/5;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Port 0/0/0;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown
  StreamId;N/A;N/A;N/A;0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
  RxPortName;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/4/5;Port 0/4/5;Port 0/4/5;Port 0/4/5;Port 0/4/5;Port 0/4/5;Port 0/4/5;Port 0/4/5;Port 0/4/5;Port 0/4/5
  TidValueString;1;2;3;4;5;6;7;8;9;10;11;0;1;2;3;6;7;8;9;10;11
  Description;N/A;N/A;N/A;Stream number 0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Stream number 0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
TX Totals:
  TxPercent;N/A;N/A;N/A;0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
  TxBpsL1;N/A;N/A;N/A;0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
  TxBpsL2;N/A;N/A;N/A;0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
  TxPps;N/A;N/A;N/A;0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
  TxBytes;N/A;N/A;N/A;92989254;N/A;N/A;N/A;N/A;N/A;N/A;N/A;1563532656;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
  TxPackets;N/A;N/A;N/A;117579;N/A;N/A;N/A;N/A;N/A;N/A;N/A;15014664;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
RX Totals:
  RxPercent;0,10362;1,181734;1,181739;0;0,000416;0,215432;0,103492;0,217081;0,103567;0,103049;0,002912;0;0,101818;1,181992;1,18168;0,212507;0,100966;0,205775;0,095729;0,101834;0,002914
  RxBpsL1;1036200;11817340;11817390;0;4160;2154320;1034920;2170810;1035670;1030490;29120;0;1018180;11819920;11816800;2125070;1009660;2057750;957290;1018340;29140
  RxBpsL2;1010920;9999260;9999310;0;3520;2103760;1009640;2120250;1010390;1005210;24640;0;992900;10001520;9998880;2074510;984380;2008310;932970;993060;24660
  RxPps;158;11363;11363;0;4;316;158;316;158;158;28;0;158;11365;11362;316;158;309;152;158;28
