Global Port Statistics Counters:
ID:
  DisplayName;P-0-0-0;P-0-0-1;P-0-0-2;P-0-0-3;P-0-0-4;P-0-0-5;P-0-2-1;P-0-2-0;P-0-2-2;P-0-2-3;P-0-2-4;P-0-2-5;P-0-4-0;P-0-4-1;P-0-4-2;P-0-4-3;P-0-4-4;P-0-4-5
Summary:
  Description;Port number 0;Port number 1;Port number 2;Port number 3;Port number 4;Port number 5;Port number 1;Port number 0;Port number 2;Port number 3;Port number 4;Port number 5;Port number 0;Port number 1;Port number 2;Port number 3;Port number 4;Port number 5
  PortSpeed;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s
  PortSyncState;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC
  FcsStatus;FCS OK;FCS OK;FCS OK;FCS OK;FCS OK;FCS OK;FCS ERRORS;FCS ERRORS;FCS ERRORS;FCS ERRORS;FCS ERRORS;FCS ERRORS;FCS ERRORS;FCS ERRORS;FCS ERRORS;FCS ERRORS;FCS ERRORS;FCS ERRORS
  FcsErrorCount;0;0;0;0;0;0;165;403;1;202;1509;1190;853;1003;1201;1110;1098;2185
  TotalErrorCount;0;0;0;0;0;0;330;806;2;403;3031;2364;1706;2007;2405;2216;2194;4414
TX Totals:
  TxPercent;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxBpsL1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxBpsL2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxPps;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxBytes;1674211660;0;167428140;0;0;16701415;0;16702162;0;0;16702162;0;0;0;0;0;73700;66892578
  TxPackets;15220106;0;1522074;0;0;21168;0;21169;0;0;21169;0;0;0;0;0;670;84682
RX Totals:
  RxPercent;0,000134;9,3E-05;0,000134;0,000227;0;0;0,000227;0,000134;0,000227;0,000134;0,000227;0,000227;0,000227;0,000134;0,000227;0,000227;0,000134;0,000134
  RxBpsL1;1340;930;1340;2270;0;0;2270;1340;2270;1340;2270;2270;2270;1340;2270;2270;1340;1340
  RxBpsL2;1020;770;1020;1790;0;0;1790;1020;1790;1020;1790;1790;1790;1020;1790;1790;1020;1020
  RxPps;2;1;2;3;0;0;3;2;3;2;3;3;3;2;3;3;2;2
  RxBytes;284534013;1958672133;1791243737;1958672229;1958672613;1941970750;1958431054;1941427729;1958670798;1958377859;1940011689;1957162978;1957611870;1957393566;1957120548;1957276664;1957284596;1888855163
