Global Stream Statistics Counters:
ID:
  TxPortName;Port 0/0/5;Port 0/0/1;Port 0/4/4;Port 0/4/5;Port 0/2/0;Port 0/2/3;Port 0/4/2;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/4/4;Port 0/2/0;Port 0/2/3;Port 0/4/2;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/0/1;Port 0/4/4;Port 0/2/0;Port 0/2/3;Port 0/4/2;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/0/1;Port 0/4/4;Port 0/2/0;Port 0/2/3;Port 0/4/2;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/0/1;Port 0/4/4;Port 0/2/0;Port 0/2/3;Port 0/4/2;Port 0/4/3;Port 0/0/0;Port 0/0/1;Port 0/4/4;Port 0/2/0;Port 0/2/3;Port 0/4/2;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/0/1;Port 0/4/4;Port 0/2/3;Port 0/4/2;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/0/1;Port 0/4/4;Port 0/2/0;Port 0/2/3;Port 0/4/2;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/0/1;Port 0/4/4;Port 0/2/0;Port 0/2/3;Port 0/4/2;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/0/1;Port 0/4/4;Port 0/2/0;Port 0/4/2;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/0/1;Port 0/4/4;Port 0/2/0;Port 0/2/3;Port 0/4/2;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/0/1;Port 0/4/4;Port 0/2/0;Port 0/2/3;Port 0/4/2;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/0/1;Port 0/4/4;Port 0/2/0;Port 0/2/3;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/0/1;Port 0/4/4;Port 0/2/0;Port 0/2/3;Port 0/4/2;Port 0/0/0;Port 0/0/5;Port 0/0/1;Port 0/2/0;Port 0/2/3;Port 0/4/2;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/0/1;Port 0/4/4;Port 0/2/0;Port 0/2/3;Port 0/4/2;Port 0/4/3
  StreamId;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxPortName;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/1;Port 0/0/1;Port 0/0/1;Port 0/0/1;Port 0/0/1;Port 0/0/1;Port 0/0/1;Port 0/0/2;Port 0/0/2;Port 0/0/2;Port 0/0/2;Port 0/0/2;Port 0/0/2;Port 0/0/2;Port 0/0/2;Port 0/0/3;Port 0/0/3;Port 0/0/3;Port 0/0/3;Port 0/0/3;Port 0/0/3;Port 0/0/3;Port 0/0/3;Port 0/0/4;Port 0/0/4;Port 0/0/4;Port 0/0/4;Port 0/0/4;Port 0/0/4;Port 0/0/4;Port 0/0/4;Port 0/0/5;Port 0/0/5;Port 0/0/5;Port 0/0/5;Port 0/0/5;Port 0/0/5;Port 0/0/5;Port 0/2/0;Port 0/2/0;Port 0/2/0;Port 0/2/0;Port 0/2/0;Port 0/2/0;Port 0/2/0;Port 0/2/1;Port 0/2/1;Port 0/2/1;Port 0/2/1;Port 0/2/1;Port 0/2/1;Port 0/2/1;Port 0/2/1;Port 0/2/2;Port 0/2/2;Port 0/2/2;Port 0/2/2;Port 0/2/2;Port 0/2/2;Port 0/2/2;Port 0/2/2;Port 0/2/3;Port 0/2/3;Port 0/2/3;Port 0/2/3;Port 0/2/3;Port 0/2/3;Port 0/2/3;Port 0/2/4;Port 0/2/4;Port 0/2/4;Port 0/2/4;Port 0/2/4;Port 0/2/4;Port 0/2/4;Port 0/2/4;Port 0/2/5;Port 0/2/5;Port 0/2/5;Port 0/2/5;Port 0/2/5;Port 0/2/5;Port 0/2/5;Port 0/2/5;Port 0/4/2;Port 0/4/2;Port 0/4/2;Port 0/4/2;Port 0/4/2;Port 0/4/2;Port 0/4/2;Port 0/4/3;Port 0/4/3;Port 0/4/3;Port 0/4/3;Port 0/4/3;Port 0/4/3;Port 0/4/3;Port 0/4/4;Port 0/4/4;Port 0/4/4;Port 0/4/4;Port 0/4/4;Port 0/4/4;Port 0/4/4;Port 0/4/5;Port 0/4/5;Port 0/4/5;Port 0/4/5;Port 0/4/5;Port 0/4/5;Port 0/4/5;Port 0/4/5
  TidValueString;1;2;4;5;6;7;10;11;0;1;4;6;7;10;11;0;1;2;4;6;7;10;11;0;1;2;4;6;7;10;11;0;1;2;4;6;7;10;11;0;2;4;6;7;10;11;0;1;2;4;7;10;11;0;1;2;4;6;7;10;11;0;1;2;4;6;7;10;11;0;1;2;4;6;10;11;0;1;2;4;6;7;10;11;0;1;2;4;6;7;10;11;0;1;2;4;6;7;11;0;1;2;4;6;7;10;0;1;2;6;7;10;11;0;1;2;4;6;7;10;11
  Description;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0
TX Totals:
  TxPercent;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxBpsL1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxBpsL2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxPps;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxBytes;4852053;48792150;19530501;17380;4852053;4852853;4852853;121660;487834490;4852053;19530501;4852053;4852853;4852853;121660;487834490;4852053;48792150;19530501;4852053;4852853;4852853;121660;487834490;4852053;48792150;19530501;4852053;4852853;4852853;121660;487834490;4852053;48792150;19530501;4852053;4852853;4852853;121660;487834490;48792150;19530501;4852053;4852853;4852853;121660;487834490;4852053;48792150;19530501;4852853;4852853;121660;487834490;4852053;48792150;19530501;4852053;4852853;4852853;121660;487834490;4852053;48792150;19530501;4852053;4852853;4852853;121660;487834490;4852053;48792150;19530501;4852053;4852853;121660;487834490;4852053;48792150;19530501;4852053;4852853;4852853;121660;487834490;4852053;48792150;19530501;4852053;4852853;4852853;121660;487834490;4852053;48792150;19530501;4852053;4852853;121660;487834490;4852053;48792150;19530501;4852053;4852853;4852853;487834490;4852053;48792150;4852053;4852853;4852853;121660;487834490;4852053;48792150;19530501;4852053;4852853;4852853;121660
