Global Port Statistics Counters:
ID:
  DisplayName;P-0-0-5;P-0-0-0;P-0-0-1;P-0-0-2;P-0-0-3;P-0-0-4;P-0-2-0;P-0-2-1;P-0-2-2;P-0-2-3;P-0-2-4;P-0-2-5;P-0-4-2;P-0-4-3;P-0-4-4;P-0-4-5
Summary:
  Description;Port number 5;Port number 0;Port number 1;Port number 2;Port number 3;Port number 4;Port number 0;Port number 1;Port number 2;Port number 3;Port number 4;Port number 5;Port number 2;Port number 3;Port number 3;Port number 1
  PortSpeed;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s
  PortSyncState;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC
  FcsStatus;FCS ERRORS;FCS ERRORS;FCS ERRORS;FCS ERRORS;FCS ERRORS;FCS ERRORS;FCS ERRORS;FCS ERRORS;FCS ERRORS;FCS ERRORS;FCS ERRORS;FCS ERRORS;FCS OK;FCS ERRORS;FCS ERRORS;FCS ERRORS
  FcsErrorCount;34;34;34;34;34;34;34;34;34;34;34;34;0;12;8;18
  TotalErrorCount;68;68;68;68;68;68;68;68;68;68;68;68;0;23;15;35
TX Totals:
  TxPercent;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxBpsL1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxBpsL2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxPps;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxBytes;4852053;487834490;48792150;0;0;0;4852053;0;0;4852853;0;0;4852853;121660;19530501;17380
  TxPackets;6170;4434859;443565;0;0;0;6170;0;0;6171;0;0;6171;1106;24688;158
RX Totals:
  RxPercent;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxBpsL1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxBpsL2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxPps;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxBytes;570793413;87828356;526853316;575645466;575645466;575645466;570793413;575645466;575645466;570792613;575645466;575645466;570835760;575551338;556146826;575664996
  RxPackets;4922696;494165;4485301;4928866;4928866;4928866;4922696;4928866;4928866;4922695;4928866;4928866;4922729;4927782;4904204;4928882
TX (No Test Payload):
  TxNonPldBpsL2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxNonPldPps;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxNonPldBytes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxNonPldPackets;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RX (No Test Payload):
  RxNonPldBpsL2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxNonPldPps;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxNonPldBytes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxNonPldPackets;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TX ARP/NDP/PING:
  TxArpRequests;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxArpReplies;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxPingRequests;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxPingReplies;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TX Misc:
  TxTraining;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxIgmpJoin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Injected Errors:
  TxInjectedFcs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxInjectedSeq;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxInjectedMis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxInjectedIntegErr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxInjectedTidErr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RX ARP/NDP/PING:
  RxArpRequests;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxArpReplies;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxPingRequests;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxPingReplies;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RX Misc:
  RxFcsErrors;34;34;34;34;34;34;34;34;34;34;34;34;0;12;8;18
  RxPauseFrames;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxGapCount;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxGapDuration;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
