Global Stream Statistics Counters:
ID:
  TxPortName;Port 0/0/5;Port 0/0/1;Port 0/4/4;Port 0/4/5;Port 0/2/0;Port 0/2/3;Port 0/4/0;Port 0/4/1;Port 0/4/2;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/4/4;Port 0/2/0;Port 0/2/3;Port 0/4/0;Port 0/4/1;Port 0/4/2;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/0/1;Port 0/4/4;Port 0/2/0;Port 0/2/3;Port 0/4/0;Port 0/4/1;Port 0/4/2;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/0/1;Port 0/4/4;Port 0/2/0;Port 0/2/3;Port 0/4/0;Port 0/4/1;Port 0/4/2;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/0/1;Port 0/4/4;Port 0/2/0;Port 0/2/3;Port 0/4/0;Port 0/4/1;Port 0/4/2;Port 0/4/3;Port 0/0/0;Port 0/0/1;Port 0/4/4;Port 0/2/0;Port 0/2/3;Port 0/4/0;Port 0/4/1;Port 0/4/2;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/0/1;Port 0/4/4;Port 0/2/3;Port 0/4/0;Port 0/4/1;Port 0/4/2;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/0/1;Port 0/4/4;Port 0/2/0;Port 0/2/3;Port 0/4/0;Port 0/4/1;Port 0/4/2;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/0/1;Port 0/4/4;Port 0/2/0;Port 0/2/3;Port 0/4/0;Port 0/4/1;Port 0/4/2;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/0/1;Port 0/4/4;Port 0/2/0;Port 0/4/0;Port 0/4/1;Port 0/4/2;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/0/1;Port 0/4/4;Port 0/2/0;Port 0/2/3;Port 0/4/0;Port 0/4/1;Port 0/4/2;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/0/1;Port 0/4/4;Port 0/2/0;Port 0/2/3;Port 0/4/0;Port 0/4/1;Port 0/4/2;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/0/1;Port 0/4/4;Port 0/2/0;Port 0/2/3;Port 0/4/1;Port 0/4/2;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/0/1;Port 0/4/4;Port 0/2/0;Port 0/2/3;Port 0/4/0;Port 0/4/2;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/0/1;Port 0/4/4;Port 0/2/0;Port 0/2/3;Port 0/4/0;Port 0/4/1;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/0/1;Port 0/4/4;Port 0/2/0;Port 0/2/3;Port 0/4/0;Port 0/4/1;Port 0/4/2;Port 0/0/0;Port 0/0/5;Port 0/0/1;Port 0/2/0;Port 0/2/3;Port 0/4/0;Port 0/4/1;Port 0/4/2;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/0/1;Port 0/4/4;Port 0/2/0;Port 0/2/3;Port 0/4/0;Port 0/4/1;Port 0/4/2;Port 0/4/3
  StreamId;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxPortName;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/1;Port 0/0/1;Port 0/0/1;Port 0/0/1;Port 0/0/1;Port 0/0/1;Port 0/0/1;Port 0/0/1;Port 0/0/1;Port 0/0/2;Port 0/0/2;Port 0/0/2;Port 0/0/2;Port 0/0/2;Port 0/0/2;Port 0/0/2;Port 0/0/2;Port 0/0/2;Port 0/0/2;Port 0/0/3;Port 0/0/3;Port 0/0/3;Port 0/0/3;Port 0/0/3;Port 0/0/3;Port 0/0/3;Port 0/0/3;Port 0/0/3;Port 0/0/3;Port 0/0/4;Port 0/0/4;Port 0/0/4;Port 0/0/4;Port 0/0/4;Port 0/0/4;Port 0/0/4;Port 0/0/4;Port 0/0/4;Port 0/0/4;Port 0/0/5;Port 0/0/5;Port 0/0/5;Port 0/0/5;Port 0/0/5;Port 0/0/5;Port 0/0/5;Port 0/0/5;Port 0/0/5;Port 0/2/0;Port 0/2/0;Port 0/2/0;Port 0/2/0;Port 0/2/0;Port 0/2/0;Port 0/2/0;Port 0/2/0;Port 0/2/0;Port 0/2/1;Port 0/2/1;Port 0/2/1;Port 0/2/1;Port 0/2/1;Port 0/2/1;Port 0/2/1;Port 0/2/1;Port 0/2/1;Port 0/2/1;Port 0/2/2;Port 0/2/2;Port 0/2/2;Port 0/2/2;Port 0/2/2;Port 0/2/2;Port 0/2/2;Port 0/2/2;Port 0/2/2;Port 0/2/2;Port 0/2/3;Port 0/2/3;Port 0/2/3;Port 0/2/3;Port 0/2/3;Port 0/2/3;Port 0/2/3;Port 0/2/3;Port 0/2/3;Port 0/2/4;Port 0/2/4;Port 0/2/4;Port 0/2/4;Port 0/2/4;Port 0/2/4;Port 0/2/4;Port 0/2/4;Port 0/2/4;Port 0/2/4;Port 0/2/5;Port 0/2/5;Port 0/2/5;Port 0/2/5;Port 0/2/5;Port 0/2/5;Port 0/2/5;Port 0/2/5;Port 0/2/5;Port 0/2/5;Port 0/4/0;Port 0/4/0;Port 0/4/0;Port 0/4/0;Port 0/4/0;Port 0/4/0;Port 0/4/0;Port 0/4/0;Port 0/4/0;Port 0/4/1;Port 0/4/1;Port 0/4/1;Port 0/4/1;Port 0/4/1;Port 0/4/1;Port 0/4/1;Port 0/4/1;Port 0/4/1;Port 0/4/2;Port 0/4/2;Port 0/4/2;Port 0/4/2;Port 0/4/2;Port 0/4/2;Port 0/4/2;Port 0/4/2;Port 0/4/2;Port 0/4/3;Port 0/4/3;Port 0/4/3;Port 0/4/3;Port 0/4/3;Port 0/4/3;Port 0/4/3;Port 0/4/3;Port 0/4/3;Port 0/4/4;Port 0/4/4;Port 0/4/4;Port 0/4/4;Port 0/4/4;Port 0/4/4;Port 0/4/4;Port 0/4/4;Port 0/4/4;Port 0/4/5;Port 0/4/5;Port 0/4/5;Port 0/4/5;Port 0/4/5;Port 0/4/5;Port 0/4/5;Port 0/4/5;Port 0/4/5;Port 0/4/5
  TidValueString;1;2;4;5;6;7;8;9;10;11;0;1;4;6;7;8;9;10;11;0;1;2;4;6;7;8;9;10;11;0;1;2;4;6;7;8;9;10;11;0;1;2;4;6;7;8;9;10;11;0;2;4;6;7;8;9;10;11;0;1;2;4;7;8;9;10;11;0;1;2;4;6;7;8;9;10;11;0;1;2;4;6;7;8;9;10;11;0;1;2;4;6;8;9;10;11;0;1;2;4;6;7;8;9;10;11;0;1;2;4;6;7;8;9;10;11;0;1;2;4;6;7;9;10;11;0;1;2;4;6;7;8;10;11;0;1;2;4;6;7;8;9;11;0;1;2;4;6;7;8;9;10;0;1;2;6;7;8;9;10;11;0;1;2;4;6;7;8;9;10;11
  Description;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0
TX Totals:
  TxPercent;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxBpsL1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxBpsL2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxPps;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxBytes;3900314;38855520;15494084;13860;3901311;3901841;3902138;3903342;3903342;97020;388477760;3900314;15494084;3901311;3901841;3902138;3903342;3903342;97020;388477760;3900314;38855520;15494084;3901311;3901841;3902138;3903342;3903342;97020;388477760;3900314;38855520;15494084;3901311;3901841;3902138;3903342;3903342;97020;388477760;3900314;38855520;15494084;3901311;3901841;3902138;3903342;3903342;97020;388477760;38855520;15494084;3901311;3901841;3902138;3903342;3903342;97020;388477760;3900314;38855520;15494084;3901841;3902138;3903342;3903342;97020;388477760;3900314;38855520;15494084;3901311;3901841;3902138;3903342;3903342;97020;388477760;3900314;38855520;15494084;3901311;3901841;3902138;3903342;3903342;97020;388477760;3900314;38855520;15494084;3901311;3902138;3903342;3903342;97020;388477760;3900314;38855520;15494084;3901311;3901841;3902138;3903342;3903342;97020;388477760;3900314;38855520;15494084;3901311;3901841;3902138;3903342;3903342;97020;388477760;3900314;38855520;15494084;3901311;3901841;3903342;3903342;97020;388477760;3900314;38855520;15494084;3901311;3901841;3902138;3903342;97020;388477760;3900314;38855520;15494084;3901311;3901841;3902138;3903342;97020;388477760;3900314;38855520;15494084;3901311;3901841;3902138;3903342;3903342;388477760;3900314;38855520;3901311;3901841;3902138;3903342;3903342;97020;388477760;3900314;38855520;15494084;3901311;3901841;3902138;3903342;3903342;97020
