Global Stream Statistics Counters:
ID:
  TxPortName;Port 0/0/5;Port 0/0/2;Port 0/4/5;Port 0/4/4;Port 0/2/0;Port 0/2/3;Port 0/4/0;Port 0/4/1;Port 0/4/2;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/0/2;Port 0/4/5;Port 0/2/0;Port 0/2/3;Port 0/4/0;Port 0/4/1;Port 0/4/2;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/4/5;Port 0/2/0;Port 0/2/3;Port 0/4/0;Port 0/4/1;Port 0/4/2;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/0/2;Port 0/4/5;Port 0/2/0;Port 0/2/3;Port 0/4/0;Port 0/4/1;Port 0/4/2;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/0/2;Port 0/4/5;Port 0/2/0;Port 0/2/3;Port 0/4/0;Port 0/4/1;Port 0/4/2;Port 0/4/3;Port 0/0/0;Port 0/0/2;Port 0/4/5;Port 0/2/0;Port 0/2/3;Port 0/4/0;Port 0/4/1;Port 0/4/2;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/0/2;Port 0/4/5;Port 0/2/3;Port 0/4/0;Port 0/4/1;Port 0/4/2;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/0/2;Port 0/4/5;Port 0/2/0;Port 0/2/3;Port 0/4/0;Port 0/4/1;Port 0/4/2;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/0/2;Port 0/4/5;Port 0/2/0;Port 0/2/3;Port 0/4/0;Port 0/4/1;Port 0/4/2;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/0/2;Port 0/4/5;Port 0/2/0;Port 0/4/0;Port 0/4/1;Port 0/4/2;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/0/2;Port 0/4/5;Port 0/2/0;Port 0/2/3;Port 0/4/0;Port 0/4/1;Port 0/4/2;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/0/2;Port 0/4/5;Port 0/2/0;Port 0/2/3;Port 0/4/0;Port 0/4/1;Port 0/4/2;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/0/2;Port 0/4/5;Port 0/2/0;Port 0/2/3;Port 0/4/1;Port 0/4/2;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/0/2;Port 0/4/5;Port 0/2/0;Port 0/2/3;Port 0/4/0;Port 0/4/2;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/0/2;Port 0/4/5;Port 0/2/0;Port 0/2/3;Port 0/4/0;Port 0/4/1;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/0/2;Port 0/4/5;Port 0/2/0;Port 0/2/3;Port 0/4/0;Port 0/4/1;Port 0/4/2;Port 0/0/0;Port 0/0/5;Port 0/0/2;Port 0/4/5;Port 0/2/0;Port 0/2/3;Port 0/4/0;Port 0/4/1;Port 0/4/2;Port 0/4/3;Port 0/0/0;Port 0/0/5;Port 0/0/2;Port 0/2/0;Port 0/2/3;Port 0/4/0;Port 0/4/1;Port 0/4/2;Port 0/4/3
  StreamId;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxPortName;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/1;Port 0/0/1;Port 0/0/1;Port 0/0/1;Port 0/0/1;Port 0/0/1;Port 0/0/1;Port 0/0/1;Port 0/0/1;Port 0/0/1;Port 0/0/2;Port 0/0/2;Port 0/0/2;Port 0/0/2;Port 0/0/2;Port 0/0/2;Port 0/0/2;Port 0/0/2;Port 0/0/2;Port 0/0/3;Port 0/0/3;Port 0/0/3;Port 0/0/3;Port 0/0/3;Port 0/0/3;Port 0/0/3;Port 0/0/3;Port 0/0/3;Port 0/0/3;Port 0/0/4;Port 0/0/4;Port 0/0/4;Port 0/0/4;Port 0/0/4;Port 0/0/4;Port 0/0/4;Port 0/0/4;Port 0/0/4;Port 0/0/4;Port 0/0/5;Port 0/0/5;Port 0/0/5;Port 0/0/5;Port 0/0/5;Port 0/0/5;Port 0/0/5;Port 0/0/5;Port 0/0/5;Port 0/2/0;Port 0/2/0;Port 0/2/0;Port 0/2/0;Port 0/2/0;Port 0/2/0;Port 0/2/0;Port 0/2/0;Port 0/2/0;Port 0/2/1;Port 0/2/1;Port 0/2/1;Port 0/2/1;Port 0/2/1;Port 0/2/1;Port 0/2/1;Port 0/2/1;Port 0/2/1;Port 0/2/1;Port 0/2/2;Port 0/2/2;Port 0/2/2;Port 0/2/2;Port 0/2/2;Port 0/2/2;Port 0/2/2;Port 0/2/2;Port 0/2/2;Port 0/2/2;Port 0/2/3;Port 0/2/3;Port 0/2/3;Port 0/2/3;Port 0/2/3;Port 0/2/3;Port 0/2/3;Port 0/2/3;Port 0/2/3;Port 0/2/4;Port 0/2/4;Port 0/2/4;Port 0/2/4;Port 0/2/4;Port 0/2/4;Port 0/2/4;Port 0/2/4;Port 0/2/4;Port 0/2/4;Port 0/2/5;Port 0/2/5;Port 0/2/5;Port 0/2/5;Port 0/2/5;Port 0/2/5;Port 0/2/5;Port 0/2/5;Port 0/2/5;Port 0/2/5;Port 0/4/0;Port 0/4/0;Port 0/4/0;Port 0/4/0;Port 0/4/0;Port 0/4/0;Port 0/4/0;Port 0/4/0;Port 0/4/0;Port 0/4/1;Port 0/4/1;Port 0/4/1;Port 0/4/1;Port 0/4/1;Port 0/4/1;Port 0/4/1;Port 0/4/1;Port 0/4/1;Port 0/4/2;Port 0/4/2;Port 0/4/2;Port 0/4/2;Port 0/4/2;Port 0/4/2;Port 0/4/2;Port 0/4/2;Port 0/4/2;Port 0/4/3;Port 0/4/3;Port 0/4/3;Port 0/4/3;Port 0/4/3;Port 0/4/3;Port 0/4/3;Port 0/4/3;Port 0/4/3;Port 0/4/4;Port 0/4/4;Port 0/4/4;Port 0/4/4;Port 0/4/4;Port 0/4/4;Port 0/4/4;Port 0/4/4;Port 0/4/4;Port 0/4/4;Port 0/4/5;Port 0/4/5;Port 0/4/5;Port 0/4/5;Port 0/4/5;Port 0/4/5;Port 0/4/5;Port 0/4/5;Port 0/4/5
  TidValueString;1;2;4;5;6;7;8;9;10;11;0;1;2;4;6;7;8;9;10;11;0;1;4;6;7;8;9;10;11;0;1;2;4;6;7;8;9;10;11;0;1;2;4;6;7;8;9;10;11;0;2;4;6;7;8;9;10;11;0;1;2;4;7;8;9;10;11;0;1;2;4;6;7;8;9;10;11;0;1;2;4;6;7;8;9;10;11;0;1;2;4;6;8;9;10;11;0;1;2;4;6;7;8;9;10;11;0;1;2;4;6;7;8;9;10;11;0;1;2;4;6;7;9;10;11;0;1;2;4;6;7;8;10;11;0;1;2;4;6;7;8;9;11;0;1;2;4;6;7;8;9;10;0;1;2;4;6;7;8;9;10;11;0;1;2;6;7;8;9;10;11
  Description;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0;Stream number 0
TX Totals:
  TxPercent;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxBpsL1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxBpsL2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxPps;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxBytes;1167990244;11678582190;2336422196;6423340;1167991541;1167992061;1167991541;1167992061;1167992061;30949380;116785751500;1167990244;11678582190;2336422196;1167991541;1167992061;1167991541;1167992061;1167992061;30949380;116785751500;1167990244;2336422196;1167991541;1167992061;1167991541;1167992061;1167992061;30949380;116785751500;1167990244;11678582190;2336422196;1167991541;1167992061;1167991541;1167992061;1167992061;30949380;116785751500;1167990244;11678582190;2336422196;1167991541;1167992061;1167991541;1167992061;1167992061;30949380;116785751500;11678582190;2336422196;1167991541;1167992061;1167991541;1167992061;1167992061;30949380;116785751500;1167990244;11678582190;2336422196;1167992061;1167991541;1167992061;1167992061;30949380;116785751500;1167990244;11678582190;2336422196;1167991541;1167992061;1167991541;1167992061;1167992061;30949380;116785751500;1167990244;11678582190;2336422196;1167991541;1167992061;1167991541;1167992061;1167992061;30949380;116785751500;1167990244;11678582190;2336422196;1167991541;1167991541;1167992061;1167992061;30949380;116785751500;1167990244;11678582190;2336422196;1167991541;1167992061;1167991541;1167992061;1167992061;30949380;116785751500;1167990244;11678582190;2336422196;1167991541;1167992061;1167991541;1167992061;1167992061;30949380;116785751500;1167990244;11678582190;2336422196;1167991541;1167992061;1167992061;1167992061;30949380;116785751500;1167990244;11678582190;2336422196;1167991541;1167992061;1167991541;1167992061;30949380;116785751500;1167990244;11678582190;2336422196;1167991541;1167992061;1167991541;1167992061;30949380;116785751500;1167990244;11678582190;2336422196;1167991541;1167992061;1167991541;1167992061;1167992061;116785751500;1167990244;11678582190;2336422196;1167991541;1167992061;1167991541;1167992061;1167992061;30949380;116785751500;1167990244;11678582190;1167991541;1167992061;1167991541;1167992061;1167992061;30949380
