Global Port Statistics Counters:
ID:
  DisplayName;P-0-4-4;P-0-0-5;P-0-2-0;P-0-0-2;P-0-0-0;P-0-0-1;P-0-0-3;P-0-0-4;P-0-2-1;P-0-2-2;P-0-2-3;P-0-2-4;P-0-2-5;P-0-4-0;P-0-4-1;P-0-4-2;P-0-4-3;P-0-4-5
Summary:
  Description;Port number 1;Port number 5;Port number 0;Port number 1;Port number 0;Port number 1;Port number 3;Port number 4;Port number 1;Port number 2;Port number 3;Port number 4;Port number 5;Port number 0;Port number 1;Port number 2;Port number 3;Port number 3
  PortSpeed;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s;1 Gbit/s
  PortSyncState;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC;IN SYNC
  FcsStatus;FCS ERRORS;FCS OK;FCS ERRORS;FCS OK;FCS OK;FCS OK;FCS OK;FCS OK;FCS ERRORS;FCS ERRORS;FCS ERRORS;FCS ERRORS;FCS ERRORS;FCS ERRORS;FCS ERRORS;FCS ERRORS;FCS ERRORS;FCS ERRORS
  FcsErrorCount;3616;0;553;0;0;0;0;0;80;93;761;2895;1897;2002;2925;19634;4209;6859
  TotalErrorCount;7223;0;1106;0;0;0;0;0;160;186;1522;5779;3809;4023;5834;39241;8400;13715
TX Totals:
  TxPercent;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxBpsL1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxBpsL2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxPps;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxBytes;6423340;1167990244;1167991541;11678582190;116785751500;0;0;0;0;0;1167992061;0;0;1167991541;1167992061;1167992061;30949380;2336422196
  TxPackets;58394;1476432;1476433;106168929;1061688650;0;0;0;0;0;1476434;0;0;1476433;1476434;1476434;281358;2952871
RX Totals:
  RxPercent;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxBpsL1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxBpsL2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxPps;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxBytes;137835324278;136671664531;136670983812;126161072585;21060326615;137839654775;137839654775;137839654775;137839553502;137839535941;136670750163;137836210295;137837363982;136669239968;136668183011;136648207210;137803727248;135494981360
  RxPackets;1179947100;1178473976;1178473422;1073781479;118320152;1179950408;1179950408;1179950408;1179950328;1179950315;1178473213;1179947855;1179948496;1178471955;1178471379;1178455338;1179665507;1176991007
