Global Stream Statistics Counters:
ID:
  TxPortName;Port 0/0/1;Port 0/0/1;Port 0/0/3;Port 0/0/0;Port 0/0/0;Port 0/0/3;Port 0/0/0;Port 0/0/0;Port 0/0/1;Port 0/0/3;Port 0/0/0;Port 0/0/0;Port 0/0/1;Port 0/0/0;Port 0/0/0;Port 0/0/1;Port 0/0/3;Port 0/0/0;Port 0/0/0;Port 0/0/1;Port 0/0/3;Port 0/0/0;Port 0/0/0;Port 0/0/1;Port 0/0/3;Port 0/0/0;Port 0/0/0;Port 0/0/1;Port 0/0/3;Port 0/0/0;Port 0/0/0;Port 0/0/1;Port 0/0/3;Port 0/0/0;Port 0/0/0;Port 0/0/1;Port 0/0/3;Port 0/0/0;Port 0/0/0;Port 0/0/1;Port 0/0/3;Port 0/0/0;Port 0/0/0;Port 0/0/1;Port 0/0/3;Port 0/0/0;Port 0/0/0;Port 0/0/1;Port 0/0/3;Port 0/0/0;Port 0/0/0;Port 0/0/1;Port 0/0/3
  StreamId;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0
  RxPortName;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/1;Port 0/0/1;Port 0/0/1;Port 0/0/2;Port 0/0/2;Port 0/0/2;Port 0/0/2;Port 0/0/3;Port 0/0/3;Port 0/0/3;Port 0/0/4;Port 0/0/4;Port 0/0/4;Port 0/0/4;Port 0/0/5;Port 0/0/5;Port 0/0/5;Port 0/0/5;Port 0/2/0;Port 0/2/0;Port 0/2/0;Port 0/2/0;Port 0/2/1;Port 0/2/1;Port 0/2/1;Port 0/2/1;Port 0/2/2;Port 0/2/2;Port 0/2/2;Port 0/2/2;Port 0/2/3;Port 0/2/3;Port 0/2/3;Port 0/2/3;Port 0/2/4;Port 0/2/4;Port 0/2/4;Port 0/2/4;Port 0/2/5;Port 0/2/5;Port 0/2/5;Port 0/2/5;Port 0/4/0;Port 0/4/0;Port 0/4/0;Port 0/4/0;Port 0/4/1;Port 0/4/1;Port 0/4/1;Port 0/4/1
  TidValueString;0;19;20;17;18;20;17;18;19;20;17;18;19;17;18;19;20;17;18;19;20;17;18;19;20;17;18;19;20;17;18;19;20;17;18;19;20;17;18;19;20;17;18;19;20;17;18;19;20;17;18;19;20
  Description;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0
TX Totals:
  TxPercent;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxBpsL1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxBpsL2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxPps;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxBytes;25084730;175593110;71265255186;712629934500;71264019530;71265255186;712629934500;71264019530;175593110;71265255186;712629934500;71264019530;175593110;712629934500;71264019530;175593110;71265255186;712629934500;71264019530;175593110;71265255186;712629934500;71264019530;175593110;71265255186;712629934500;71264019530;175593110;71265255186;712629934500;71264019530;175593110;71265255186;712629934500;71264019530;175593110;71265255186;712629934500;71264019530;175593110;71265255186;712629934500;71264019530;175593110;71265255186;712629934500;71264019530;175593110;71265255186;712629934500;71264019530;175593110;71265255186
