Global Stream Statistics Counters:
ID:
  TxPortName;Port 0/0/1;Port 0/0/3;Port 0/0/1;Port 0/0/0;Port 0/0/0;Port 0/0/3;Port 0/0/0;Port 0/0/0;Port 0/0/1;Port 0/0/3;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/3;Port 0/0/0;Port 0/0/0;Port 0/0/3;Port 0/0/0;Port 0/0/0;Port 0/0/3;Port 0/0/0;Port 0/0/0;Port 0/0/3;Port 0/0/0;Port 0/0/0;Port 0/0/3;Port 0/0/0;Port 0/0/0;Port 0/0/3;Port 0/0/0;Port 0/0/0;Port 0/0/3;Port 0/0/0;Port 0/0/0;Port 0/0/3;Port 0/0/0;Port 0/0/0;Port 0/0/3;Port 0/0/0;Port 0/0/0;Port 0/0/3;Port 0/0/0;Port 0/0/0;Port 0/0/3;Port 0/0/0;Port 0/0/0;Port 0/0/3;Port 0/0/0;Port 0/0/0;Port 0/0/3;Port 0/0/0;Port 0/0/0;Port 0/0/3
  StreamId;0;0;1;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0
  RxPortName;Port 0/0/0;Port 0/0/0;Port 0/0/0;Port 0/0/1;Port 0/0/1;Port 0/0/1;Port 0/0/2;Port 0/0/2;Port 0/0/2;Port 0/0/2;Port 0/0/3;Port 0/0/3;Port 0/0/4;Port 0/0/4;Port 0/0/4;Port 0/0/5;Port 0/0/5;Port 0/0/5;Port 0/2/0;Port 0/2/0;Port 0/2/0;Port 0/2/1;Port 0/2/1;Port 0/2/1;Port 0/2/2;Port 0/2/2;Port 0/2/2;Port 0/2/3;Port 0/2/3;Port 0/2/3;Port 0/2/4;Port 0/2/4;Port 0/2/4;Port 0/2/5;Port 0/2/5;Port 0/2/5;Port 0/4/0;Port 0/4/0;Port 0/4/0;Port 0/4/1;Port 0/4/1;Port 0/4/1;Port 0/4/2;Port 0/4/2;Port 0/4/2;Port 0/4/3;Port 0/4/3;Port 0/4/3;Port 0/4/4;Port 0/4/4;Port 0/4/4;Port 0/4/5;Port 0/4/5;Port 0/4/5
  TidValueString;3;4;5;0;1;4;0;1;3;4;0;1;0;1;4;0;1;4;0;1;4;0;1;4;0;1;4;0;1;4;0;1;4;0;1;4;0;1;4;0;1;4;0;1;4;0;1;4;0;1;4;0;1;4
  Description;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 1;Stream number 0;Stream number 0;Stream number 1;Stream number 0
TX Totals:
  TxPercent;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxBpsL1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxBpsL2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxPps;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  TxBytes;196848190;79891298117;28121170;798890301330;79890180150;79891298117;798890301330;79890180150;196848190;79891298117;798890301330;79890180150;798890301330;79890180150;79891298117;798890301330;79890180150;79891298117;798890301330;79890180150;79891298117;798890301330;79890180150;79891298117;798890301330;79890180150;79891298117;798890301330;79890180150;79891298117;798890301330;79890180150;79891298117;798890301330;79890180150;79891298117;798890301330;79890180150;79891298117;798890301330;79890180150;79891298117;798890301330;79890180150;79891298117;798890301330;79890180150;79891298117;798890301330;79890180150;79891298117;798890301330;79890180150;79891298117
  TxPackets;1789529;100997632;255647;7262639103;726274365;100997632;7262639103;726274365;1789529;100997632;7262639103;726274365;7262639103;726274365;100997632;7262639103;726274365;100997632;7262639103;726274365;100997632;7262639103;726274365;100997632;7262639103;726274365;100997632;7262639103;726274365;100997632;7262639103;726274365;100997632;7262639103;726274365;100997632;7262639103;726274365;100997632;7262639103;726274365;100997632;7262639103;726274365;100997632;7262639103;726274365;100997632;7262639103;726274365;100997632;7262639103;726274365;100997632
RX Totals:
  RxPercent;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxBpsL1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxBpsL2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxPps;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  RxBytes;196837410;79887430242;28119630;798851643700;79642871990;79887428497;798851617080;79642871990;196837410;79887425729;798851590460;79642871990;798851563840;79886306280;79887420099;798851537220;79642871990;79887416556;798851510600;79642871990;79887414647;798851483980;79642871990;79887411868;798851457360;79642871990;79887410083;798851429420;79642871990;79887406878;798851402800;79642871990;79887403605;798851353190;79642871990;79887396806;798851326570;79642871990;79887394141;798851299950;79642871990;79887393451;798851273330;79642871990;79887392175;798851246710;79642871990;79887389160;798851220090;79642871990;79887388688;798851192260;79642871990;79887386089
  RxPackets;1789431;100992758;255633;7262287670;724026109;100992755;7262287428;724026109;1789431;100992751;7262287186;724026109;7262286944;726239148;100992744;7262286702;724026109;100992741;7262286460;724026109;100992738;7262286218;724026109;100992734;7262285976;724026109;100992731;7262285722;724026109;100992728;7262285480;724026109;100992724;7262285029;724026109;100992718;7262284787;724026109;100992714;7262284545;724026109;100992711;7262284303;724026109;100992708;7262284061;724026109;100992704;7262283819;724026109;100992701;7262283566;724026109;100992697
RX Errors:
  TxRxDiff;98;4874;14;351433;2248256;4877;351675;2248256;98;4881;351917;2248256;352159;35217;4888;352401;2248256;4891;352643;2248256;4894;352885;2248256;4898;353127;2248256;4901;353381;2248256;4904;353623;2248256;4908;354074;2248256;4914;354316;2248256;4918;354558;2248256;4921;354800;2248256;4924;355042;2248256;4928;355284;2248256;4931;355537;2248256;4935
  LostPackets;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  MisorderPackets;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  PayloadErrors;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
  BitErrorRate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RX Latency:
  AggrMinLatency;2559;2190;2631;2559;2559;2190;2559;2559;2559;2190;2559;2559;2559;2559;2190;2559;2559;2230;1372;1372;1052;1396;1396;1076;1372;1372;1027;1420;1420;1052;1396;1396;1060;1372;1372;1027;1444;1444;1076;1444;1444;1116;1444;1444;1124;1468;1468;1100;1424;1424;1080;1448;1448;1104
  AggrAvgLatency;3250;2845;2800;3169;2940;3656;3190;2951;4910;3676;3147;2889;3182;2936;3678;3200;2939;3686;1988;1814;2503;2020;1819;2516;2000;1772;2533;1992;1830;2531;2009;1798;2526;1936;1792;2532;2002;1874;2556;1997;1864;2580;2041;1873;2600;2045;1843;2599;2003;1866;2564;2048;1827;2569
